date,adj_close,close,high,low,open,volume,ticker,return_1d,ma_7,ma_30,volatility_7,rsi_14,macd,macd_signal
2020-01-02,286.5252685546875,302.8299865722656,303.32000732421875,300.6099853515625,301.2699890136719,573600,ASML,,,,,,0.0,0.0
2020-01-03,281.907958984375,297.95001220703125,300.75,297.6600036621094,298.0400085449219,410800,ASML,-0.01611456784868248,,,,,-0.3892857043491631,-0.07785714086983263
2020-01-06,279.6656799316406,295.5799865722656,295.7200012207031,292.42999267578125,293.1700134277344,617600,ASML,-0.00795444046875493,,,,,-0.8789071962353887,-0.23806715194294387
2020-01-07,282.70281982421875,298.7900085449219,301.2200012207031,297.4100036621094,298.6700134277344,477700,ASML,0.01086007889059637,,,,,-0.9964276129003906,-0.3897392441344333
2020-01-08,285.63592529296875,301.8900146484375,303.19000244140625,299.94000244140625,300.6600036621094,536900,ASML,0.01037520002296044,,,,,-0.8298527788059005,-0.47776195106872676
2020-01-09,285.1534118652344,301.3800048828125,303.9100036621094,300.2699890136719,303.2799987792969,579700,ASML,-0.0016893893168972163,,,,,-0.7305729581400442,-0.5283241524829903
2020-01-10,280.2333068847656,296.17999267578125,300.510009765625,295.55999755859375,300.04998779296875,447700,ASML,-0.017254005318147136,299.2285723005022,,,,-1.0592797936989768,-0.6345152807261876
2020-01-13,285.2195739746094,301.45001220703125,301.6199951171875,297.5,298.67999267578125,405700,ASML,0.01779330022814518,299.03143310546875,,0.013924962677060459,,-0.8843416561745698,-0.6844805558158641
2020-01-14,286.2603454589844,302.54998779296875,305.8999938964844,298.4700012207031,299.1499938964844,609600,ASML,0.0036489485533079957,299.6885724748884,,0.012136440059611337,,-0.6494565540373287,-0.677475755460157
2020-01-15,283.92340087890625,300.0799865722656,302.95001220703125,299.75,301.6000061035156,505300,ASML,-0.008163944208760987,300.3314296177455,,0.012166033314874904,,-0.6550656847375649,-0.6729937413156386
2020-01-16,284.8695068359375,301.0799865722656,302.94000244140625,299.54998779296875,302.54998779296875,547500,ASML,0.0033324448305358523,300.6585693359375,,0.011594759301128939,,-0.572223087027055,-0.6528396104579219
2020-01-17,283.885498046875,300.0400085449219,301.04998779296875,299.2699890136719,300.8999938964844,743900,ASML,-0.0034541586080950593,300.39428274972096,,0.010919200278853375,,-0.583758067218298,-0.6390233018099971
2020-01-21,282.3337707519531,298.3999938964844,301.25,297.4700012207031,298.1099853515625,573000,ASML,-0.005465986540898138,299.96856689453125,,0.011061305922243083,,-0.7169703106370093,-0.6546127035753996
2020-01-22,280.29949951171875,296.25,301.6600036621094,296.010009765625,300.55999755859375,1108600,ASML,-0.00720507352701294,299.9785679408482,,0.009141108248597374,,-0.9846777602073189,-0.7206257149017834
2020-01-23,278.47344970703125,294.32000732421875,297.1000061035156,291.55999755859375,296.92999267578125,713000,ASML,-0.006514743209388163,298.95999581473217,,0.0049355854849049315,38.13775694684908,-1.3371581947169489,-0.8439322108648166
2020-01-24,279.902099609375,295.8299865722656,299.3299865722656,294.489990234375,296.8900146484375,977800,ASML,0.005130399600675073,297.99999564034596,,0.005306223813196195,46.738425162987184,-1.4776256242496402,-0.9706708935417814
2020-01-27,268.9740295410156,284.2799987792969,288.6199951171875,283.7699890136719,287.1600036621094,889100,ASML,-0.03904265394727757,295.7428545270647,,0.014681607648578987,36.444350073584864,-2.4922059627897966,-1.2749779073913845
2020-01-28,274.55633544921875,290.17999267578125,290.260009765625,285.1600036621094,286.2300109863281,1636100,ASML,0.020754164632823535,294.1857125418527,,0.017955857267793255,40.29747268581726,-2.7880490971084555,-1.5775921453347985
